iter	Passed	Remaining
0	148	148118
1	149	74814
2	152	50769
3	154	38451
4	155	30974
5	157	26107
6	159	22566
7	160	19901
8	161	17796
9	162	16115
10	164	14747
11	165	13602
12	166	12628
13	167	11788
14	168	11047
15	169	10419
16	170	9861
17	171	9364
18	172	8914
19	173	8508
20	174	8132
21	175	7802
22	176	7495
23	177	7210
24	178	6945
25	178	6700
26	179	6471
27	180	6266
28	181	6075
29	182	5894
30	183	5744
31	184	5589
32	185	5450
33	187	5316
34	187	5181
35	188	5050
36	189	4926
37	190	4814
38	191	4711
39	192	4610
40	192	4512
41	193	4420
42	194	4335
43	195	4251
44	197	4182
45	198	4112
46	199	4040
47	200	3972
48	201	3904
49	201	3837
50	202	3774
51	203	3714
52	204	3658
53	205	3598
54	206	3542
55	206	3488
56	207	3435
57	208	3385
58	209	3337
59	210	3291
60	211	3251
61	212	3211
62	212	3166
63	213	3124
64	214	3082
65	215	3043
66	215	3004
67	216	2967
68	217	2932
69	218	2897
70	218	2864
71	219	2833
72	220	2802
73	221	2770
74	222	2740
75	223	2711
76	223	2683
77	225	2661
78	226	2639
79	227	2615
80	228	2589
81	229	2565
82	229	2537
83	230	2513
84	231	2492
85	232	2472
86	233	2448
87	234	2427
88	234	2405
89	235	2385
90	236	2363
91	237	2344
92	238	2324
93	239	2307
94	240	2291
95	241	2272
96	242	2255
97	243	2238
98	244	2221
99	244	2204
100	246	2190
101	247	2176
102	248	2160
103	248	2144
104	249	2130
105	250	2116
106	251	2102
107	252	2087
108	254	2076
109	255	2066
110	256	2054
111	257	2043
112	258	2028
113	259	2015
114	260	2001
115	261	1991
116	262	1978
117	263	1966
118	263	1954
119	264	1941
120	265	1928
121	266	1915
122	266	1903
123	268	1893
124	269	1885
125	270	1873
126	270	1861
127	271	1851
128	272	1841
129	273	1831
130	274	1822
131	275	1811
132	276	1801
133	277	1792
134	278	1782
135	279	1773
136	280	1763
137	280	1753
138	281	1744
139	282	1736
140	283	1728
141	284	1718
142	285	1709
143	286	1700
144	286	1690
145	287	1680
146	288	1671
147	288	1663
148	289	1653
149	290	1645
150	291	1637
151	291	1628
152	292	1618
153	292	1609
154	293	1599
155	294	1590
156	294	1581
157	295	1573
158	295	1564
159	296	1555
160	296	1547
161	297	1541
162	298	1533
163	299	1525
164	300	1518
165	300	1510
166	301	1503
167	302	1496
168	302	1488
169	303	1483
170	304	1476
171	305	1470
172	305	1462
173	306	1455
174	307	1447
175	307	1440
176	308	1432
177	308	1425
178	309	1418
179	309	1411
180	310	1404
181	310	1397
182	311	1391
183	312	1387
184	313	1381
185	314	1376
186	315	1370
187	315	1364
188	316	1358
189	317	1352
190	318	1347
191	318	1341
192	319	1335
193	319	1329
194	320	1322
195	321	1316
196	321	1311
197	322	1305
198	322	1299
199	323	1293
200	323	1287
201	324	1281
202	324	1275
203	325	1269
204	325	1264
205	326	1259
206	327	1255
207	328	1250
208	329	1246
209	329	1241
210	330	1236
211	331	1232
212	332	1227
213	333	1223
214	333	1218
215	334	1214
216	335	1209
217	335	1205
218	336	1200
219	337	1196
220	338	1191
221	338	1187
222	339	1183
223	340	1179
224	341	1175
225	342	1173
226	343	1170
227	344	1167
228	345	1163
229	346	1158
230	346	1153
231	347	1149
232	348	1146
233	349	1142
234	349	1138
235	350	1133
236	350	1129
237	351	1124
238	351	1120
239	352	1115
240	352	1111
241	353	1106
242	353	1102
243	354	1098
244	354	1093
245	355	1090
246	356	1087
247	357	1084
248	358	1081
249	359	1078
250	360	1074
251	361	1071
252	361	1068
253	362	1064
254	363	1062
255	364	1058
256	364	1054
257	365	1050
258	365	1046
259	366	1042
260	366	1038
261	367	1034
262	367	1030
263	368	1027
264	368	1023
265	369	1019
266	370	1016
267	370	1013
268	372	1011
269	373	1008
270	374	1006
271	374	1002
272	375	999
273	376	996
274	376	992
275	377	990
276	378	987
277	379	984
278	380	982
279	380	978
280	381	976
281	382	973
282	382	969
283	383	966
284	384	963
285	384	960
286	385	956
287	385	954
288	387	952
289	388	950
290	388	947
291	389	944
292	390	942
293	391	939
294	392	937
295	392	934
296	393	931
297	394	929
298	395	926
299	396	924
300	396	920
301	397	917
302	397	914
303	398	911
304	398	908
305	399	905
306	399	902
307	400	899
308	402	899
309	403	897
310	404	895
311	405	893
312	406	891
313	406	888
314	407	885
315	408	883
316	409	881
317	410	879
318	411	877
319	411	875
320	412	872
321	413	870
322	413	867
323	414	864
324	414	861
325	415	859
326	416	857
327	417	855
328	418	853
329	419	850
330	419	848
331	420	846
332	421	843
333	421	841
334	422	839
335	423	836
336	423	834
337	424	831
338	425	828
339	425	826
340	426	823
341	426	820
342	427	818
343	427	815
344	428	812
345	428	810
346	429	808
347	430	805
348	430	803
349	431	801
350	432	800
351	433	798
352	434	795
353	434	793
354	435	791
355	436	789
356	437	787
357	437	785
358	438	782
359	438	780
360	439	777
361	440	775
362	440	773
363	441	770
364	441	768
365	442	766
366	442	763
367	443	761
368	444	759
369	444	757
370	445	755
371	446	754
372	447	752
373	448	750
374	449	748
375	450	746
376	450	744
377	451	742
378	452	740
379	452	738
380	453	736
381	454	734
382	454	732
383	455	730
384	455	728
385	456	726
386	457	723
387	457	721
388	458	719
389	458	717
390	459	715
391	459	713
392	461	712
393	462	710
394	463	710
395	464	708
396	465	706
397	465	704
398	466	703
399	467	701
400	468	699
401	468	697
402	469	695
403	470	693
404	470	691
405	471	689
406	471	687
407	472	685
408	472	682
409	473	681
410	473	679
411	474	677
412	475	675
413	476	674
414	477	672
415	478	671
416	478	669
417	479	667
418	479	665
419	480	663
420	481	662
421	482	660
422	482	658
423	483	656
424	483	654
425	484	652
426	484	650
427	485	648
428	486	647
429	486	645
430	487	643
431	487	641
432	488	639
433	489	638
434	490	636
435	491	635
436	492	634
437	493	632
438	493	631
439	494	629
440	495	627
441	495	626
442	496	624
443	497	622
444	497	621
445	498	619
446	499	617
447	499	615
448	500	614
449	500	612
450	501	610
451	501	608
452	502	606
453	503	605
454	504	603
455	505	602
456	506	601
457	507	600
458	508	599
459	509	597
460	509	596
461	510	594
462	511	593
463	512	591
464	512	590
465	513	588
466	514	587
467	515	585
468	515	584
469	516	582
470	517	580
471	517	579
472	518	577
473	519	575
474	519	574
475	520	573
476	521	571
477	522	570
478	522	568
479	523	567
480	524	565
481	525	564
482	525	562
483	526	561
484	527	559
485	527	558
486	528	556
487	529	555
488	530	554
489	531	552
490	532	551
491	532	550
492	533	548
493	534	547
494	535	546
495	536	545
496	537	544
497	538	542
498	538	541
499	539	539
500	540	538
501	541	536
502	541	535
503	542	533
504	543	532
505	543	530
506	544	529
507	544	527
508	545	526
509	545	524
510	546	523
511	547	521
512	547	519
513	548	518
514	548	516
515	549	515
516	550	514
517	551	513
518	552	512
519	553	510
520	554	509
521	554	508
522	555	506
